Item,Timestamp,DateTime,Date,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,Total_Ask_Volume,Total_Bid_Volume,Best_Bid_Price,Best_Ask_Price,Spread,Reference_Price
ETHUSDT,1735061198322,2024-12-24T17:26:38.322000,2024-12-24,3506.69,2.26929766,3505.82,0.4144,34.491990290000004,18.21570171,3505.82,3506.69,0.8699999999998909,3506.69
ETHUSDT,1735061215881,2024-12-24T17:26:55.881000,2024-12-24,3506.71,0.15049453,3506.7,0.7501,32.14679957,30.70167588,3506.7,3506.71,0.0100000000002182,3506.7
ETHUSDT,1735061256386,2024-12-24T17:27:36.386000,2024-12-24,3507.24,0.84848713,3506.89,0.0037,32.92362972,18.46901623,3506.89,3507.24,0.349999999999909,3507.23
ETHUSDT,1735061289230,2024-12-24T17:28:09.230000,2024-12-24,3506.86,0.0405033,3506.85,0.9547,22.1856552,17.904724530000003,3506.85,3506.86,0.0100000000002182,3506.8
ETHUSDT,1735061290125,2024-12-24T17:28:10.125000,2024-12-24,3506.86,0.3056978,3506.85,0.9547,17.382566320000002,23.248309610000003,3506.85,3506.86,0.0100000000002182,3506.8
ETHUSDT,1735061313078,2024-12-24T17:28:33.078000,2024-12-24,3507.05,1.60721857,3505.77,0.2822,34.227954960000005,11.481141439999998,3505.77,3507.05,1.2800000000002,3507.04
ETHUSDT,1735061329289,2024-12-24T17:28:49.289000,2024-12-24,3505.71,2.45942874,3505.7,0.05721326,36.02684866,17.11942258,3505.7,3505.71,0.0100000000002182,3505.71
ETHUSDT,1735061339187,2024-12-24T17:28:59.187000,2024-12-24,3506.75,0.1746,3505.75,0.3288,32.60530322,27.63881205,3505.75,3506.75,1.0,3505.71
ETHUSDT,1735061345027,2024-12-24T17:29:05.027000,2024-12-24,3505.71,2.87333042,3505.7,0.05721326,22.51194493,22.25622823,3505.7,3505.71,0.0100000000002182,3505.71
ETHUSDT,1735061355377,2024-12-24T17:29:15.377000,2024-12-24,3505.71,2.9850978,3505.7,0.00319862,35.367747910000006,22.20443526,3505.7,3505.71,0.0100000000002182,3505.7
ETHUSDT,1735061368887,2024-12-24T17:29:28.887000,2024-12-24,3501.84,3.34593608,3501.78,0.2174,29.10403433999999,27.39002302,3501.78,3501.84,0.0599999999999454,3501.83
ETHUSDT,1735061380122,2024-12-24T17:29:40.122000,2024-12-24,3499.32,2.0381,3498.33,1.3094,26.83475796,50.3163285,3498.33,3499.32,0.9900000000002364,3499.56
ETHUSDT,1735061401295,2024-12-24T17:30:01.295000,2024-12-24,3499.05,2.1158,3498.31,0.3525,35.60892947,15.74774947,3498.31,3499.05,0.7400000000002365,3499.06
ETHUSDT,1735061403523,2024-12-24T17:30:03.523000,2024-12-24,3499.04,2.0381,3498.12,0.2306,35.0075018,27.76576207,3498.12,3499.04,0.9200000000000728,3499.06
ETHUSDT,1735061437271,2024-12-24T17:30:37.271000,2024-12-24,3495.57,0.91572502,3493.66,0.3748,33.18526891999999,27.57328957,3493.66,3495.57,1.9100000000003088,3495.57
ETHUSDT,1735061442229,2024-12-24T17:30:42.229000,2024-12-24,3495.56,2.47343625,3494.36,0.7009,35.27530014,29.65908943,3494.36,3495.56,1.199999999999818,3495.56
ETHUSDT,1735061453477,2024-12-24T17:30:53.477000,2024-12-24,3493.82,2.1126,3493.53,0.1719,42.275824930000006,42.962645390000006,3493.53,3493.82,0.2899999999999636,3493.38
ETHUSDT,1735061483620,2024-12-24T17:31:23.620000,2024-12-24,3493.39,2.68989933,3491.35,0.0429942,42.97471731,43.54279452,3491.35,3493.39,2.039999999999964,3493.39
ETHUSDT,1735061493989,2024-12-24T17:31:33.989000,2024-12-24,3492.06,1.0900427,3492.05,1.3377,41.56329011,35.76219245,3492.05,3492.06,0.0099999999997635,3492.06
ETHUSDT,1735061507478,2024-12-24T17:31:47.478000,2024-12-24,3492.48,1.95812,3491.54,0.50394,42.41553383,42.86296618,3491.54,3492.48,0.9400000000000546,3492.48
ETHUSDT,1735061510168,2024-12-24T17:31:50.168000,2024-12-24,3491.37,3.46286106,3490.34,0.5316,46.07831094,28.01489689,3490.34,3491.37,1.0299999999997451,3491.37
ETHUSDT,1735061524121,2024-12-24T17:32:04.121000,2024-12-24,3492.77,0.645543,3492.76,1.3396,39.8009466,31.643230849999995,3492.76,3492.77,0.0099999999997635,3492.76
ETHUSDT,1735061534026,2024-12-24T17:32:14.026000,2024-12-24,3494.08,1.59279833,3494.07,1.42774,43.85367145,25.94494959,3494.07,3494.08,0.0099999999997635,3494.08
ETHUSDT,1735061547983,2024-12-24T17:32:27.983000,2024-12-24,3494.08,2.26313885,3493.31,0.9238,44.88866997,43.78721364,3493.31,3494.08,0.7699999999999818,3494.08
