Item,Date,DateTime,Timestamp,Reference_Price,Bid_Depth,Ask_Depth,Percentage
100K_FLOKIIRT,2024-12-24,2024-12-24 17:08:23.831000+03:30,1735047503831,14160008.0,1434.903,457.316,0.0
100K_FLOKIUSDT,2024-12-24,2024-12-24 17:08:23.202000+03:30,1735047503202,17.8899,1009.722,838.6560000000001,0.0
1B_BABYDOGEIRT,2024-12-24,2024-12-24 17:08:23.847000+03:30,1735047503847,2910000.0,3558.224,9004.089,0.0
1B_BABYDOGEUSDT,2024-12-24,2024-12-24 17:08:23.216000+03:30,1735047503216,3.678,6482.334,6656.307,0.0
1INCHIRT,2024-12-24,2024-12-24 17:08:23.817000+03:30,1735047503817,322550.0,34133.0,86844.0,0.0
1INCHUSDT,2024-12-24,2024-12-24 17:08:23.184000+03:30,1735047503184,0.41,141037.0,86511.0,0.0
1M_BTTIRT,2024-12-24,2024-12-24 17:08:23.703000+03:30,1735047503703,900020.0,7495.05,5344.41,0.0
1M_BTTUSDT,2024-12-24,2024-12-24 17:08:23.245000+03:30,1735047503245,1.151,27630.44,27763.63,0.0
1M_NFTIRT,2024-12-24,2024-12-24 17:08:23.860000+03:30,1735047503860,424000.0,47258.740000000005,39024.64,0.0
1M_NFTUSDT,2024-12-24,2024-12-24 17:08:23.230000+03:30,1735047503230,0.5273,53542.06,62123.29,0.0
1M_PEPEIRT,2024-12-24,2024-12-24 17:08:23.838000+03:30,1735047503838,14701250.0,319.64529999999996,437.1175,0.0
1M_PEPEUSDT,2024-12-24,2024-12-24 17:08:23.225000+03:30,1735047503225,18.7395,713.3498000000001,1395.111,0.0
AAVEIRT,2024-12-24,2024-12-24 17:08:23.617000+03:30,1735047503617,298878860.0,22.567,30.4949,0.0
AAVEUSDT,2024-12-24,2024-12-24 17:08:23.007000+03:30,1735047503007,378.66,26.1098,71.4305,0.0
ADAIRT,2024-12-24,2024-12-24 17:08:23.632000+03:30,1735047503632,727960.0,36566.3,24867.0,0.0
ADAUSDT,2024-12-24,2024-12-24 17:08:23.021000+03:30,1735047503021,0.9182,10214.5,31557.9,0.0
AEVOIRT,2024-12-24,2024-12-24 17:08:23.752000+03:30,1735047503752,309900.0,43933.53,41641.26,0.0
AEVOUSDT,2024-12-24,2024-12-24 17:08:23.288000+03:30,1735047503288,0.389,45626.84,40866.58,0.0
AGLDIRT,2024-12-24,2024-12-24 17:08:23.717000+03:30,1735047503717,1320190.0,8859.605,6909.867,0.0
AGLDUSDT,2024-12-24,2024-12-24 17:08:23.264000+03:30,1735047503264,1.6689,12637.66,16262.575,0.0
ALGOIRT,2024-12-24,2024-12-24 17:08:23.592000+03:30,1735047503592,306510.0,29520.2,68382.3,0.0
ALGOUSDT,2024-12-24,2024-12-24 17:08:23.019000+03:30,1735047503019,0.3903,73716.5,73112.6,0.0
ANKRIRT,2024-12-24,2024-12-24 17:08:23.841000+03:30,1735047503841,30090.0,336073.6,999649.1000000001,0.0
ANKRUSDT,2024-12-24,2024-12-24 17:08:23.216000+03:30,1735047503216,0.03799,698521.6,682422.9,0.0
APEIRT,2024-12-24,2024-12-24 17:08:23.525000+03:30,1735047503525,999950.0,11737.8,20790.8,0.0
APEUSDT,2024-12-24,2024-12-24 17:08:23.108000+03:30,1735047503108,1.26,27992.2,29760.2,0.0
API3IRT,2024-12-24,2024-12-24 17:08:23.579000+03:30,1735047503579,1370000.0,21242.135000000002,15140.289,0.0
API3USDT,2024-12-24,2024-12-24 17:08:23.011000+03:30,1735047503011,1.762,20439.245,18747.714,0.0
APTIRT,2024-12-24,2024-12-24 17:08:23.605000+03:30,1735047503605,7630000.0,3344.7,632.4,0.0
APTUSDT,2024-12-24,2024-12-24 17:08:23.037000+03:30,1735047503037,9.67,1539.3,1216.2,0.0
ARBIRT,2024-12-24,2024-12-24 17:08:23.801000+03:30,1735047503801,646960.0,27392.341,11467.096,0.0
ARBUSDT,2024-12-24,2024-12-24 17:08:23.171000+03:30,1735047503171,0.818,22493.427,20725.427,0.0
ATOMIRT,2024-12-24,2024-12-24 17:08:23.652000+03:30,1735047503652,5490000.0,2952.79,3068.4500000000003,0.0
