Item,Date,DateTime,Timestamp,Reference_Price,Best_Ask_Price,Best_Bid_Price,Spread
100K_FLOKIIRT,2024-12-24,2024-12-24 17:08:23.831000+03:30,1735047503831,14160008.0,14376500.0,13870372.0,506128.0
100K_FLOKIUSDT,2024-12-24,2024-12-24 17:08:23.202000+03:30,1735047503202,17.8899,18.8,17.01,1.7899999999999991
1B_BABYDOGEIRT,2024-12-24,2024-12-24 17:08:23.847000+03:30,1735047503847,2910000.0,2963210.0,2860000.0,103210.0
1B_BABYDOGEUSDT,2024-12-24,2024-12-24 17:08:23.216000+03:30,1735047503216,3.678,3.849,3.521,0.3280000000000003
1INCHIRT,2024-12-24,2024-12-24 17:08:23.817000+03:30,1735047503817,322550.0,369000.0,294950.0,74050.0
1INCHUSDT,2024-12-24,2024-12-24 17:08:23.184000+03:30,1735047503184,0.41,0.4974,0.3145,0.1829
1M_BTTIRT,2024-12-24,2024-12-24 17:08:23.703000+03:30,1735047503703,900020.0,955560.0,860000.0,95560.0
1M_BTTUSDT,2024-12-24,2024-12-24 17:08:23.245000+03:30,1735047503245,1.151,1.415,0.84,0.5750000000000001
1M_NFTIRT,2024-12-24,2024-12-24 17:08:23.860000+03:30,1735047503860,424000.0,468900.0,369290.0,99610.0
1M_NFTUSDT,2024-12-24,2024-12-24 17:08:23.230000+03:30,1735047503230,0.5273,0.63,0.0007,0.6293
1M_PEPEIRT,2024-12-24,2024-12-24 17:08:23.838000+03:30,1735047503838,14701250.0,14900990.0,14450000.0,450990.0
1M_PEPEUSDT,2024-12-24,2024-12-24 17:08:23.225000+03:30,1735047503225,18.7395,19.348,18.0,1.347999999999999
AAVEIRT,2024-12-24,2024-12-24 17:08:23.617000+03:30,1735047503617,298878860.0,300980000.0,291800190.0,9179810.0
AAVEUSDT,2024-12-24,2024-12-24 17:08:23.007000+03:30,1735047503007,378.66,388.38,365.0,23.379999999999995
ADAIRT,2024-12-24,2024-12-24 17:08:23.632000+03:30,1735047503632,727960.0,733130.0,719990.0,13140.0
ADAUSDT,2024-12-24,2024-12-24 17:08:23.021000+03:30,1735047503021,0.9182,0.9399,0.8956,0.044300000000000006
AEVOIRT,2024-12-24,2024-12-24 17:08:23.752000+03:30,1735047503752,309900.0,346010.0,284000.0,62010.0
AEVOUSDT,2024-12-24,2024-12-24 17:08:23.288000+03:30,1735047503288,0.389,0.495,0.305,0.19
AGLDIRT,2024-12-24,2024-12-24 17:08:23.717000+03:30,1735047503717,1320190.0,1365000.0,1282400.0,82600.0
AGLDUSDT,2024-12-24,2024-12-24 17:08:23.264000+03:30,1735047503264,1.6689,1.8576,1.51,0.3475999999999999
ALGOIRT,2024-12-24,2024-12-24 17:08:23.592000+03:30,1735047503592,306510.0,325390.0,287110.0,38280.0
ALGOUSDT,2024-12-24,2024-12-24 17:08:23.019000+03:30,1735047503019,0.3903,0.4219,0.3468,0.0751
ANKRIRT,2024-12-24,2024-12-24 17:08:23.841000+03:30,1735047503841,30090.0,35000.0,27000.0,8000.0
ANKRUSDT,2024-12-24,2024-12-24 17:08:23.216000+03:30,1735047503216,0.03799,0.0551,0.00198,0.05312
APEIRT,2024-12-24,2024-12-24 17:08:23.525000+03:30,1735047503525,999950.0,1089000.0,936900.0,152100.0
APEUSDT,2024-12-24,2024-12-24 17:08:23.108000+03:30,1735047503108,1.26,1.53,1.077,0.45300000000000007
API3IRT,2024-12-24,2024-12-24 17:08:23.579000+03:30,1735047503579,1370000.0,1505990.0,1150000.0,355990.0
API3USDT,2024-12-24,2024-12-24 17:08:23.011000+03:30,1735047503011,1.762,2.38,1.33,1.0499999999999998
APTIRT,2024-12-24,2024-12-24 17:08:23.605000+03:30,1735047503605,7630000.0,7729990.0,7335190.0,394800.0
APTUSDT,2024-12-24,2024-12-24 17:08:23.037000+03:30,1735047503037,9.67,10.101,9.1584,0.9426000000000005
ARBIRT,2024-12-24,2024-12-24 17:08:23.801000+03:30,1735047503801,646960.0,667000.0,630010.0,36990.0
ARBUSDT,2024-12-24,2024-12-24 17:08:23.171000+03:30,1735047503171,0.818,0.8521,0.7729,0.07919999999999994
ATOMIRT,2024-12-24,2024-12-24 17:08:23.652000+03:30,1735047503652,5490000.0,5679350.0,5104000.0,575350.0
ATOMUSDT,2024-12-24,2024-12-24 17:08:23.054000+03:30,1735047503054,6.993,7.63,6.22,1.4100000000000001
AVAXIRT,2024-12-24,2024-12-24 17:08:23.572000+03:30,1735047503572,31270120.0,33100000.0,29800000.0,3300000.0
