Item,Timestamp,DateTime,Date,Ask_Price,Ask_Volume,Bid_Price,Bid_Volume,Total_Ask_Volume,Total_Bid_Volume,Best_Bid_Price,Best_Ask_Price,Spread,Reference_Price
ETH-USDT,1735060981.401748,2024-12-24T20:53:01.401751,2024-12-24,3504.82,2.941,3504.81,4.00658,7.637214000000001,13.095289999999999,3504.81,3504.82,0.010000000000218279,3504.815
ETH-USDT,1735061005.403166,2024-12-24T20:53:25.403173,2024-12-24,3501.41,8.288327,3501.4,1.02,12.492936,11.299794,3501.4,3501.41,0.009999999999763531,3501.4049999999997
ETH-USDT,1735061021.360783,2024-12-24T20:53:41.360792,2024-12-24,3501.7,12.739189,3501.69,0.048522,24.847858,21.346809,3501.69,3501.7,0.009999999999763531,3501.6949999999997
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.21,6.482916,3490.2,5.086206,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.39,2.442601,3490.01,1.506867,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.4,1.736,3490.0,5.762665,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.46,0.000288,3489.83,2.754169,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.55,3.8,3489.8,1.736,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.56,3.8874,3489.73,0.572,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.6,1.736,3489.67,3.8,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.68,0.31581,3489.66,6.746287,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.69,0.572,3489.65,3.195,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
ETH-USDT,1735061574.498856,2024-12-24T21:02:54.498863,2024-12-24,3490.75,0.00015,3489.63,3.8,20.973164999999998,34.959194,3490.2,3490.21,0.010000000000218279,3490.205
