Item,Date,DateTime,Timestamp,Reference_Price,Bid_Depth,Ask_Depth,Percentage,Best_Bid_Price,Best_Ask_Price
1BBABYDOGETMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,302557.0,145315.3755885,154329.452501,0,301859.0,303255.0
1BBABYDOGEUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3.775,195413.70745,190230.61400892,0,3.73,3.82
1INCHTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,33383.5,9549596.5,428669.27999999997,0,33300.0,33467.0
1INCHUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.421,304372.4,117489.6,0,0.42,0.422
AAVETMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,29783603.5,2270942.9284499995,1104.6264,0,29600457.0,29966750.0
AAVEUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,374.24,1322.23377,441.63484,0,368.05,380.43
ADATMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,74198.0,107785.0,63100.0,0,74196.0,74200.0
ADAUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.93875,153710.0,133290.0,0,0.9385,0.939
AIOZTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,76959.5,136543.6,104341.5,0,76919.0,77000.0
AIOZUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.97632,37049.6,23512.3,0,0.97193,0.98071
ALICETMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,97992.0,604263.0,110487.21,0,97970.0,98014.0
ALICEUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,1.24195,4300482.06,45411.52,0,1.23,1.2539
APETMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,101170.0,7382426.5,388583.28,0,100946.0,101394.0
APEUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,1.2795,319815.0,141794.4,0,1.277,1.282
ARBTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,65561.0,438941.515,379301.41,0,65422.0,65700.0
ARBUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.8273999999999999,1453706.3599999999,666488.0788,0,0.8228,0.832
ATOMTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,563936.0,77271.0,17587.2,0,561698.0,566174.0
ATOMUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,7.13,45528.0,33835.92,0,7.12,7.14
AVAXTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3211361.5,6121291.4629999995,5583.13056,0,3198485.0,3224238.0
AVAXUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,40.735,14189.824,6132.94143,0,40.58,40.89
AXSTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,548534.0,1346843.581,20819.2548,0,546286.0,550782.0
AXSUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,6.925000000000001,27019.79088,11676.48118,0,6.91,6.94
BCHTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,37498581.0,1298.662,1612.85832,0,37497162.0,37500000.0
BCHUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,475.475,755.509,477.6674,0,473.94,477.01
BNBTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,55100000.5,123.1545,629.3975,0,55000001.0,55200000.0
BNBUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,695.6132,1184.47,1601.0305,0,693.2264,698.0
BTCTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,7709149589.0,4.578,11.45645,0,7700200001.0,7718099177.0
BTCUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,97366.88,3.9928000000000003,10.720550000000001,0,97235.77,97497.99
BTTCTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.09201999999999999,1170954391050.0,176691887680.0,0,0.09154,0.0925
BTTCUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,1.16e-06,43558486656.0,18976216614.0,0,1.15e-06,1.17e-06
BURGERTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,40409.0,324361.9,227673.0,0,39820.0,40998.0
BURGERUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.5146850000000001,169677.0,245388.8,0,0.50297,0.5264
CAKETMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,208298.0,156694.5,114478.5,0,207421.0,209175.0
CAKEUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,2.63185,252317.0,148719.84,0,2.6224,2.6413
CATITMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,31471.5,557930.0,157409.6,0,31278.0,31665.0
CATIUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.397605,301900.8,75632.4,0,0.39528,0.39993
CATSTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,1.926745,9231772475.0,14077337924.7,0,1.90066,1.95283
CATSUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,2.4285000000000002e-05,9852032505.0,2916213723.8,0,2.4e-05,2.457e-05
CELRTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,1783.5,9237420.0,7271600.4,0,1763.0,1804.0
CELRUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.023030000000000002,21194527.7,5265220.0,0,0.02198,0.02408
CHZTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,7466.5,3326485.0,2717990.0,0,7434.0,7499.0
CHZUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.09275,19187020.0,5107146.8,0,0.09052,0.09498
CVXTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,389917.0,48050.5,20691.38,0,380756.0,399078.0
CVXUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,4.3941,5371.15,2204.46,0,3.7884,4.9998
DAITMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,79335.5,16027.65,66516.15,0,79229.0,79442.0
DASHTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3333313.5,33214.2085,7425.14526,0,3320045.0,3346582.0
DASHUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,42.114999999999995,24346.20144,9848.21186,0,41.98,42.25
DOGETMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,26440.5,1210820.0,552710.0,0,26438.0,26443.0
DOGEUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.33403000000000005,1108810.0,929105.0,0,0.33356,0.3345
DOGSTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,45.955,565002948.0,564840745.0,0,45.91,46.0
DOGSUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.000583,648633360.0,268558642.0,0,0.00058,0.000586
DOTTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,597451.5,87149.0,51737.0,0,595003.0,599900.0
DOTUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,7.448,63603.0,48168.0,0,7.312,7.584
DYDXTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,125364.5,253646.0,78112.38,0,124731.0,125998.0
DYDXUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,1.5635,100143.0,167521.2,0,1.52,1.607
EGLDTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,2967313.5,4714.26048,920.05284,0,2917486.0,3017141.0
EGLDUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,37.05,4442.3296199999995,1591.6472899999999,0,35.59,38.51
EIGENTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,317255.0,31011.51,30025.2383,0,315985.0,318525.0
EIGENUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3.99775,22472.463200000002,28879.354,0,3.9955,4.0
EOSTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,69284.0,2729762.9999999995,454003.48,0,68983.0,69585.0
EOSUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.875,505070.0,241528.32,0,0.8721,0.8779
ETCTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,2232839.0,1689347.191,24174.8229,0,2223480.0,2242198.0
ETCUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,28.215,43768.9455,8786.68274,0,28.13,28.3
ETHTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,275027452.5,79.06,37.0815,0,274987016.0,275067889.0
ETHUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3486.95,128.2585,118.818,0,3481.9,3492.0
FETTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,111428.5,409224.48,105179.4612,0,110950.0,111907.0
FETUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,1.40785,82809.54000000001,103485.0684,0,1.4025,1.4132
FILTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,431287.5,104840.0,63992.0,0,428485.0,434090.0
FILUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,5.46405,454812.5,73121.14,0,5.44,5.4881
FLOKITMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,14.486799999999999,3438665050.0,6870326850.0,0,14.4737,14.4999
FLOKIUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.000183445,4572243250.0,6756572809.0,0,0.00018303,0.00018386
FTMTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,78298.5,250810.0,1127883.0,0,78230.0,78367.0
FTMUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.9899,238189.0,1100221.0,0,0.9884,0.9914
GALATMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3192.5,10011990.0,9831780.0,0,3187.0,3198.0
GALAUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.040445,15913905.0,4389212.5,0,0.04032,0.04057
GMTTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,11800.0,2164070.0,1781524.8,0,11600.0,12000.0
GMTUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.16414,25555723.6,332608.0,0,0.14248,0.1858
HMSTRTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,252.15,144189802.0,54059117.5,0,252.0,252.3
HMSTRUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.003182,71737888.0,17706626.16,0,0.003179,0.003185
JASMYTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3084.0,3942400.0,7288502.0,0,3069.0,3099.0
JASMYUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.03937499999999999,2374155.0,2537990.0,0,0.03874,0.04001
JSTTMN,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,3184.5,2098725.2,1014675.9,0,3155.0,3214.0
JSTUSDT,2024-12-24,1970-01-21T01:57:34.052913,1735054052.913411,0.03881,866812.7999999999,187473.0,0,0.03501,0.04261
