Item,Date,DateTime,LastUpdate,Best_Ask_Price,Best_Bid_Price,Spread,Reference_Price
1BBABYDOGETMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,339765.0,240000.0,99765.0,289882.5
1BBABYDOGEUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,6.99,0.06,6.930000000000001,3.525
1INCHTMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,99999.0,8.0,99991.0,50003.5
1INCHUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,1.094,0.033,1.0610000000000002,0.5635
AAVETMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,55555555.0,3023417.0,52532138.0,29289486.0
AAVEUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,632.0,2.14,629.86,317.07
ADATMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,73837.0,70600.0,3237.0,72218.5
ADAUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,0.9728,0.8128,0.16000000000000003,0.8928
AIOZTMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,145530.0,11000.0,134530.0,78265.0
AIOZUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,2.0,0.595,1.405,1.2974999999999999
ALICETMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,148800.0,119.0,148681.0,74459.5
ALICEUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,5.279,0.0001,5.2789,2.63955
APETMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,160452.0,11.0,160441.0,80231.5
APEUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,5.8,0.011,5.789,2.9055
ARBTMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,84665.0,48435.0,36230.0,66550.0
ARBUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,1.2994,0.1111,1.1883000000000001,0.70525
ATOMTMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,778999.0,797.0,778202.0,389898.0
ATOMUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,13.48,0.22,13.26,6.8500000000000005
AVAXTMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,4636065.0,20.0,4636045.0,2318042.5
AVAXUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,59.66,1.0,58.66,30.33
AXSTMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,1300000.0,31.0,1299969.0,650015.5
AXSUSDT,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,44.0,0.53,43.47,22.265
BCHTMN,2024-12-24,2024-12-24 17:04:05.967740,1735047245.96774,60435083.0,26390.0,60408693.0,30230736.5
