Item,Date,DateTime,Timestamp,Best_Ask_Price,Best_Bid_Price,Spread,Reference_Price
1BBABYDOGETMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,345500.0,247224.0,98276.0,296362.0
1BBABYDOGEUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,6.98,0.06,6.920000000000001,3.52
1INCHTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,99999.0,8.0,99991.0,50003.5
1INCHUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,1.094,0.033,1.0610000000000002,0.5635
AAVETMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,55555555.0,15.0,55555540.0,27777785.0
AAVEUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,632.0,2.14,629.86,317.07
ADATMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,75777.0,72920.0,2857.0,74348.5
ADAUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,0.993,0.8497,0.14329999999999998,0.92135
AIOZTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,145530.0,11000.0,134530.0,78265.0
AIOZUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,2.0,0.595,1.405,1.2974999999999999
ALICETMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,155000.0,119.0,154881.0,77559.5
ALICEUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,5.279,0.0001,5.2789,2.63955
APETMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,165999.0,11.0,165988.0,83005.0
APEUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,7.1,0.011,7.0889999999999995,3.5555
ARBTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,87000.0,47200.0,39800.0,67100.0
ARBUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,1.3091,0.1111,1.198,0.7101
ATOMTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,772811.0,797.0,772014.0,386804.0
ATOMUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,13.49,0.22,13.27,6.855
AVAXTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,5000000.0,20.0,4999980.0,2500010.0
AVAXUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,60.0,1.0,59.0,30.5
AXSTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,1290000.0,31.0,1289969.0,645015.5
AXSUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,44.0,0.53,43.47,22.265
BCHTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,64987654.0,26390.0,64961264.0,32507022.0
BCHUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,750.0,172.01,577.99,461.005
BNBTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,57096558.0,52588038.0,4508520.0,54842298.0
BNBUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,788.97,489.0,299.97,638.985
BTCTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,7760000759.0,7680728283.0,79272476.0,7720364521.0
BTCUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,98628.13,96065.03,2563.100000000006,97346.58
BTTCTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,0.1632,0.0001,0.16310000000000002,0.08165
BTTCUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,4.72e-06,6e-07,4.1199999999999995e-06,2.66e-06
BURGERTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,120000.0,150.0,119850.0,60075.0
BURGERUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,2.0,0.02343,1.97657,1.011715
CAKETMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,297167.0,136451.0,160716.0,216809.0
CAKEUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,4.15,1.215,2.9350000000000005,2.6825
CATITMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,43369.0,13460.0,29909.0,28414.5
CATIUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,1.126,0.23,0.8959999999999999,0.6779999999999999
CATSTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,3.15,0.8,2.3499999999999996,1.975
CATSUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,7.999e-05,1.4e-05,6.599e-05,4.6995e-05
CELRTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,2430.0,19.0,2411.0,1224.5
CELRUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,0.09,0.00221,0.08778999999999999,0.046105
CHZTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,9749.0,1000.0,8749.0,5374.5
CHZUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,0.262,4e-05,0.26196,0.13102
CVXTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,1000000.0,84919.0,915081.0,542459.5
CVXUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,10.2,0.9888,9.2112,5.594399999999999
DAITMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,99000.0,50001.0,48999.0,74500.5
DASHTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,5150000.0,777.0,5149223.0,2575388.5
DASHUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,150.0,0.09,149.91,75.045
DOGETMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,26914.0,26528.0,386.0,26721.0
DOGEUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,0.35085,0.31825,0.03260000000000002,0.33455
DOGSTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,53.5,38.03,15.469999999999999,45.765
DOGSUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,0.000989,0.000339,0.0006500000000000001,0.0006640000000000001
DOTTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,786895.0,300000.0,486895.0,543447.5
DOTUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,9.818,4.2,5.617999999999999,7.009
DYDXTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,191000.0,60053.0,130947.0,125526.5
DYDXUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,3.65,0.652,2.9979999999999998,2.151
EGLDTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,7109675.0,3975.0,7105700.0,3556825.0
EGLDUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,226.73,0.31,226.42,113.52
EIGENTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,800000.0,160000.0,640000.0,480000.0
EIGENUSDT,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,9.001,1.391,7.609999999999999,5.196
EOSTMN,2024-12-24,1970-01-21T01:57:34.587656,1735054587.656029,114000.0,100.0,113900.0,57050.0
